split,row_id,model,y_true,y_pred,residual,abs_residual,squared_residual
test,1056,dummy_regressor,81.0,17.46867828969217,63.53132171030783,63.53132171030783,4036.2288382586307
test,6224,dummy_regressor,10.0,17.46867828969217,-7.468678289692171,7.468678289692171,55.781155394919175
test,19932,dummy_regressor,5.5,17.46867828969217,-11.968678289692171,11.968678289692171,143.24926000214873
test,9389,dummy_regressor,26.5,17.46867828969217,9.031321710307829,9.031321710307829,81.56477183507752
test,4966,dummy_regressor,82.5,17.46867828969217,65.03132171030782,65.03132171030782,4229.072803389553
test,2583,dummy_regressor,65.0,17.46867828969217,47.53132171030783,47.53132171030783,2259.2265435287804
test,2559,dummy_regressor,52.8,17.46867828969217,35.331321710307826,35.331321710307826,1248.3022937972692
test,12690,dummy_regressor,4.7,17.46867828969217,-12.768678289692172,12.768678289692172,163.0391452656562
test,5685,dummy_regressor,61.0,17.46867828969217,43.53132171030783,43.53132171030783,1894.9759698463176
test,4472,dummy_regressor,38.0,17.46867828969217,20.53132171030783,20.53132171030783,421.53517117215756
test,11227,dummy_regressor,1.2,17.46867828969217,-16.268678289692172,16.268678289692172,264.6698932935014
test,15853,dummy_regressor,4.47,17.46867828969217,-12.998678289692172,12.998678289692172,168.9656372789146
test,12447,dummy_regressor,0.42,17.46867828969217,-17.04867828969217,17.04867828969217,290.6574314254211
test,13602,dummy_regressor,14.91,17.46867828969217,-2.558678289692171,2.558678289692171,6.546834590142054
test,13908,dummy_regressor,8.1,17.46867828969217,-9.368678289692172,9.368678289692172,87.77213289574944
test,15697,dummy_regressor,0.095,17.46867828969217,-17.373678289692172,17.373678289692172,301.84469731372116
test,7889,dummy_regressor,16.4,17.46867828969217,-1.0686782896921727,1.0686782896921727,1.1420732868593875
test,7107,dummy_regressor,85.5,17.46867828969217,68.03132171030782,68.03132171030782,4628.2607336514
test,1475,dummy_regressor,20.5,17.46867828969217,3.0313217103078287,3.0313217103078287,9.18891131138358
test,936,dummy_regressor,54.0,17.46867828969217,36.53132171030783,36.53132171030783,1334.537465902008
test,14957,dummy_regressor,13.5,17.46867828969217,-3.9686782896921713,3.9686782896921713,15.750407367073977
test,4744,dummy_regressor,51.1,17.46867828969217,33.63132171030783,33.63132171030783,1131.0657999822229
test,14228,dummy_regressor,0.76,17.46867828969217,-16.70867828969217,16.70867828969217,279.17993018843043
test,4170,dummy_regressor,95.1,17.46867828969217,77.63132171030782,77.63132171030782,6026.622110489309
test,12459,dummy_regressor,2.21,17.46867828969217,-15.25867828969217,15.25867828969217,232.82726314832317
test,7650,dummy_regressor,90.0,17.46867828969217,72.53132171030782,72.53132171030782,5260.792629044171
test,735,dummy_regressor,6.5,17.46867828969217,-10.968678289692171,10.968678289692171,120.31190342276437
test,12366,dummy_regressor,4.0,17.46867828969217,-13.468678289692171,13.468678289692171,181.40529487122524
test,2878,dummy_regressor,34.1,17.46867828969217,16.63132171030783,16.63132171030783,276.60086183175656
test,6497,dummy_regressor,9.8,17.46867828969217,-7.668678289692171,7.668678289692171,58.808626710796034
test,2710,dummy_regressor,19.5,17.46867828969217,2.0313217103078287,2.0313217103078287,4.126267890767922
test,18145,dummy_regressor,2.34,17.46867828969217,-15.128678289692171,15.128678289692171,228.87690679300326
test,5714,dummy_regressor,14.0,17.46867828969217,-3.4686782896921713,3.4686782896921713,12.031729077381806
test,14097,dummy_regressor,40.0,17.46867828969217,22.53132171030783,22.53132171030783,507.6604580133889
